data,preco_gasolina,preco_gasolina_real,postos_pesquisados,indice_ipca,ipca_mensal,salario_minimo,litros_por_salario,custo_tanque_50l,percentual_salario_tanque,indice_gasolina_100,indice_ipca_100,indice_salario_100
2018-08-01,4.447,6.734603230259306,26503.0,5056.56,-0.09,954,214.52664717787272,222.35,23.30712788259958,146.6688654353562,123.02467033234394,121.06598984771573
2018-09-01,4.625,6.970711724265524,23112.0,5080.83,0.48,954,206.27027027027026,231.25,24.240041928721173,152.5395778364116,123.61515254732129,121.06598984771573
2018-10-01,4.717,7.077528691985602,27682.0,5103.69,0.45,954,202.24719101123597,235.85,24.72222222222222,155.57387862796833,124.1713298622938,121.06598984771573
2018-11-01,4.59,6.901470203044588,24409.0,5092.97,-0.21,954,207.84313725490196,229.5,24.056603773584907,151.38522427440634,123.91051530339156,121.06598984771573
2018-12-01,4.365,6.553332140665528,23221.0,5100.61,0.15,954,218.55670103092783,218.25,22.87735849056604,143.96437994722956,124.09639433604205,121.06598984771573
2019-01-01,4.268,6.387265731600783,29056.0,5116.93,0.32,998,233.8331771321462,213.39999999999998,21.382765531062123,140.7651715039578,124.49345530631115,126.6497461928934
2019-02-01,4.19,6.2436905542593495,23251.0,5138.93,0.43,998,238.18615751789974,209.50000000000003,20.991983967935873,138.19261213720318,125.02870906525231,126.6497461928934
2019-03-01,4.305,6.367304426679439,23219.0,5177.47,0.75,998,231.82346109175379,215.25,21.56813627254509,141.98548812664907,125.966376332052,126.6497461928934
2019-04-01,4.437,6.525346363919201,27385.0,5206.98,0.57,998,224.92675231011944,221.85000000000002,22.22945891783567,146.33905013192611,126.6843462605226,126.6497461928934
2019-05-01,4.552,6.685780284823782,24841.0,5213.75,0.13,998,219.24428822495608,227.59999999999997,22.805611222444885,150.13192612137203,126.8490584399786,126.6497461928934
2019-06-01,4.468,6.5617502814392035,23235.0,5214.27,0.01,998,223.3661593554163,223.4,22.384769539078157,147.36147757255938,126.86170989246266,126.6497461928934
2019-07-01,4.351,6.37780153631766,28065.0,5224.18,0.19,998,229.37255803263616,217.55,21.798597194388776,143.50263852242745,127.10281738114935,126.6497461928934
2019-08-01,4.316,6.3195420741768995,24149.0,5229.93,0.11,998,231.23262279888786,215.79999999999998,21.62324649298597,142.34828496042215,127.24271324996353,126.6497461928934
2019-09-01,4.326,6.336716498592152,25045.0,5227.84,-0.04,998,230.69810448451227,216.29999999999998,21.673346693386772,142.67810026385223,127.19186414286409,126.6497461928934
2019-10-01,4.38,6.409403543235615,27201.0,5233.07,0.1,998,227.8538812785388,219.0,21.9438877755511,144.45910290237467,127.31910855919419,126.6497461928934
2019-11-01,4.413,6.42492480455382,23235.0,5259.76,0.51,998,226.15001133016088,220.65,22.10921843687375,145.54749340369392,127.96846868765512,126.6497461928934
2019-12-01,4.531,6.521718834641228,26228.0,5320.25,1.15,998,220.26042816155376,226.54999999999998,22.700400801603205,149.43931398416885,129.44017322758017,126.6497461928934
2020-01-01,4.579,6.576999311628046,25996.0,5331.42,0.21,1039,226.90543786853027,228.95,22.035611164581326,151.02242744063324,129.7119361588244,131.85279187817258
2020-02-01,4.55,6.51904607324945,23230.0,5344.75,0.25,1045,229.6703296703297,227.5,21.770334928229666,150.06596306068602,130.0362512773101,132.61421319796952
2020-03-01,4.462,6.388493062527927,26055.0,5348.49,0.07,1045,234.19991035410132,223.1,21.349282296650717,147.1635883905013,130.12724441633011,132.61421319796952
2020-04-01,4.066,5.8396203574328895,25947.0,5331.91,-0.31,1045,257.0093457943925,203.29999999999998,19.454545454545453,134.10290237467018,129.72385771981897,132.61421319796952
2020-05-01,3.818,5.504356111566087,23056.0,5311.65,-0.38,1045,273.70350969093766,190.9,18.267942583732058,125.92348284960421,129.2309376672668,132.61421319796952
2020-06-01,3.964,5.700022480687114,26187.0,5325.46,0.26,1045,263.6226034308779,198.2,18.966507177033492,130.73878627968338,129.56693104958396,132.61421319796952
2020-07-01,4.144,5.937479885417699,25641.0,5344.63,0.36,1045,252.17181467181467,207.20000000000002,19.82775119617225,136.67546174142478,130.03333171135225,132.61421319796952
2020-08-01,4.237,6.0561911820153576,17042.0,5357.46,0.24,1045,246.63677130044843,211.85,20.272727272727273,139.74274406332455,130.34548197168021,132.61421319796952
2020-09-01,,,,5391.75,0.64,1045,,,,,131.17974794413897,132.61421319796952
2020-10-01,4.358,6.136750814619758,2350.0,5438.12,0.86,1045,239.78889398806794,217.89999999999998,20.851674641148325,143.7335092348285,132.30791688968907,132.61421319796952
2020-11-01,4.406,6.149610022382128,7996.0,5486.52,0.89,1045,237.1765773944621,220.29999999999998,21.08133971291866,145.31662269129285,133.48547515935968,132.61421319796952
2020-12-01,4.483,6.17373400844155,10805.0,5560.59,1.35,1045,233.102832924381,224.14999999999998,21.449760765550238,147.85620052770446,135.2875772468493,132.61421319796952
2021-01-01,4.622,6.3492854162443555,10748.0,5574.49,0.25,1100,237.99221116399826,231.1,21.009090909090908,152.44063324538257,135.62576030363488,139.59390862944164
2021-02-01,4.951,6.7432446877951335,11354.0,5622.43,0.86,1100,222.17733791153304,247.54999999999998,22.50454545454545,163.29155672823217,136.79212690380032,139.59390862944164
2021-03-01,5.484,7.400363598556403,15378.0,5674.72,0.93,1100,200.58351568198395,274.2,24.927272727272726,180.8707124010554,138.06432776993822,139.59390862944164
